SilhouetteIndex,Std Dev,Mean
0.234702203,0.040059765,0.270337042
0.252229824,,
0.248079455,,
0.259298607,,
0.265200121,,
0.276194281,,
0.252203932,,
0.291530318,,
0.279840101,,
0.253172615,,
0.25659057,,
0.269253837,,
0.257752384,,
0.256845787,,
0.240307999,,
0.255207565,,
0.214873523,,
0.264373477,,
0.24834061,,
0.248465867,,
0.247478862,,
0.224781501,,
0.285923732,,
0.253819686,,
0.262728393,,
0.282730444,,
0.285305253,,
0.278657061,,
0.304320769,,
0.275815735,,
0.30403506,,
0.271516337,,
0.259557941,,
0.254634692,,
0.307145973,,
0.319214806,,
0.307684346,,
0.509836791,,
0.231753248,,
0.224511948,,
0.25113852,,
0.304112735,,
0.305030765,,
0.294895897,,
0.288278049,,
0.231157314,,
0.271151859,,
0.260435226,,
0.235912651,,
0.271632389,,
0.253186602,,
0.273419702,,
0.313015682,,
0.269908593,,
0.247365512,,
0.346749189,,
0.29000319,,
0.244107839,,
0.232224211,,
0.285352986,,
0.231782772,,
0.258651886,,
0.255804402,,
