SilhouetteIndex,Std. dev,Mean
0.259222372,0.0594284,0.297551793
0.286521298,,
0.288268258,,
0.277079169,,
0.293327432,,
0.330461172,,
0.3104492,,
0.335168316,,
0.344996013,,
0.320833504,,
0.326441962,,
0.290107169,,
0.318251607,,
0.320992625,,
0.277768671,,
0.281716292,,
0.270862638,,
0.298851299,,
0.385552287,,
0.219152959,,
0.258310335,,
0.243370579,,
0.296883503,,
0.268629208,,
0.293965184,,
0.313371569,,
0.282286991,,
0.273711306,,
0.247696208,,
0.300113583,,
0.293776759,,
0.28642483,,
0.289409957,,
0.290136417,,
0.27726383,,
0.342414467,,
0.362420004,,
0.567660314,,
0.237512808,,
0.228489627,,
0.226943226,,
0.259741925,,
0.246626168,,
0.222780102,,
0.256043028,,
0.306725083,,
0.241226313,,
0.280734445,,
0.254027951,,
0.280196635,,
0.2505259,,
0.283235768,,
0.30344814,,
0.292781449,,
0.370961446,,
0.398479471,,
0.49610344,,
