SilhouetteIndex,,St dev,Mean
0.270577027,,0.064018723,0.384528582
0.315624916,,,
0.24261457,,,
0.301587196,,,
0.37478893,,,
0.276692031,,,
0.366807621,,,
0.392268953,,,
0.331836345,,,
0.348891532,,,
0.367842005,,,
0.388369444,,,
0.354747298,,,
0.433156636,,,
0.471120268,,,
0.474636206,,,
0.457083844,,,
0.473675083,,,
0.376026163,,,
0.286936674,,,
0.284288993,,,
0.247991202,,,
0.31964239,,,
0.331320048,,,
0.332090161,,,
0.305472714,,,
0.339508496,,,
0.349061686,,,
0.357091347,,,
0.40242909,,,
0.428985627,,,
0.38757237,,,
0.415969479,,,
0.411902547,,,
0.453064952,,,
0.471091622,,,
0.534655854,,,
0.411275291,,,
0.348236162,,,
0.387357541,,,
0.358300334,,,
0.375309183,,,
0.382875111,,,
0.382489888,,,
0.40246082,,,
0.400667723,,,
0.377641999,,,
0.385412702,,,
0.432568726,,,
0.414271617,,,
0.421212156,,,
0.433905901,,,
0.442432943,,,
0.450087375,,,
0.418637144,,,
0.408679674,,,
0.333506352,,,
0.264268209,,,
0.323085594,,,
0.328479319,,,
0.338574598,,,
0.330116522,,,
0.401861043,,,
0.418766496,,,
0.369721664,,,
0.353359038,,,
0.372225657,,,
0.33282868,,,
0.466311439,,,
0.453002182,,,
0.517245308,,,
0.503794517,,,
0.440165853,,,
0.501598958,,,
0.46501623,,,
0.399000951,,,
